candidate,seed,stage_index,point_kind,class_id,requested_coverage,achieved_coverage,reason,predicted_retained_fraction,true_retained_fraction,true_class_recall,predicted_composition,true_composition,predicted_full_mass,true_full_mass
R0,0,1,registered,1,0.05,0.050000169541890765,,0.0,0.0012206278890600922,0.0,0.0,0.001719151071671984,0.08063083224826385,0.07042100694444445
R0,0,1,registered,2,0.05,0.050000169541890765,,0.0,7.587787997203361e-05,0.0,0.0,4.747162722565636e-05,0.030497911241319432,0.031281704372829844
R0,0,1,registered,0,0.1,0.10000016954116317,,0.11250242238081529,0.11108806420386055,0.11108806420386055,1.0,0.9978993769338363,0.8888712565104139,0.8982972886827228
R0,0,1,registered,1,0.1,0.10000016954116317,,0.0,0.0028385015408320495,0.0,0.0,0.001998897978213879,0.08063083224826385,0.07042100694444445
R0,0,1,registered,2,0.1,0.10000016954116317,,0.0,0.0003251909141658583,0.0,0.0,0.00010172508794981572,0.030497911241319432,0.031281704372829844
R0,0,1,registered,0,0.2,0.20000016953970798,,0.22500465402298342,0.22192756153634352,0.22192756153634352,1.0,0.9967837890762422,0.8888712565104139,0.8982972886827228
R0,0,1,registered,1,0.2,0.20000016953970798,,0.0,0.008484206471494605,0.0,0.0,0.0029873292818457077,0.08063083224826385,0.07042100694444445
R0,0,1,registered,2,0.2,0.20000016953970798,,0.0,0.0014633591137463624,0.0,0.0,0.00022888164191212857,0.030497911241319432,0.031281704372829844
R0,0,1,registered,0,0.3,0.3000001695382528,,0.33750555049462366,0.3327034544378059,0.3327026994890698,0.9999960440198862,0.996221473851254,0.8888712565104139,0.8982972886827228
R0,0,1,registered,1,0.3,0.3000001695382528,,1.4718869590815433e-05,0.01471013097072419,4.815100154083205e-06,3.955980113853118e-06,0.003453005499377507,0.08063083224826385,0.07042100694444445
R0,0,1,registered,2,0.3,0.3000001695382528,,0.0,0.0031218327759922407,0.0,0.0,0.0003255206493684852,0.030497911241319432,0.031281704372829844
R0,0,1,registered,0,0.4,0.4000001695367976,,0.44999328599963084,0.4433279801176702,0.44331948694438855,0.9999648200290171,0.9956003843517794,0.8888712565104139,0.8982972886827228
